Race,Gender,Course,SB1,SB2,SB3,SB4,SB5,SB6,Conflict,Satisfaction,PS,ContributionSelf,ContributionNoSelf
White,Man,333,,,,,,,1.44,5,,1.05,1.05
White,Man,333,,,,,,,1.33,2.33,,1.01,1.05
White,Man,333,,,,,,,1.44,4.33,,0.91,0.8
White,Nonbinary,333,,,,,,,1.44,5,,1.02,1.04
Asian,Woman,333,,,,,,,1.44,2.67,,1.05,1.05
White,Man,333,,,,,,,2.22,2.33,,1.05,1.05
White,Man,333,,,,,,,1.22,4,,0.6,0.54
White,Man,333,,,,,,,1.22,5,,1,1
White,Man,333,,,,,,,1,5,,1.02,1.03
White,Man,333,,,,,,,1,5,,1,1
White,Woman,333,,,,,,,1,5,,1,1
White,Man,333,,,,,,,1.11,5,,1,1.02
White,Man,333,,,,,,,1,5,,0.9,0.87
White,Man,333,,,,,,,1.22,5,,1,0.92
White,Man,333,,,,,,,1,5,,1,0.94
White,Man,333,,,,,,,1,3.33,,1.05,1.05
White,Man,371,4,4,4,4,4,4,,,,,
White,Man,371,5,5,5,5,5,5,,,,,
Asian,Man,371,4,5,4,5,5,5,,,,,
White,Man,374,5,5,5,5,4,3,,,,,
White,Man,374,4,5,5,5,5,5,,,,,
Asian,Man,374,5,5,5,5,5,5,,,,,
White,Man,374,5,5,4,5,5,5,,,,,
Asian,Man,374,5,5,5,5,5,5,,,,,
White,Man,374,5,5,5,5,5,5,,,,,
Asian,Man,374,4,4,5,5,4,4,,,,,
White,Man,374,5,4,5,5,5,5,,,,,
Asian,Man,374,4,4,4,4,4,4,,,,,
White,Man,374,4,4,4,5,4,3,,,,,
White,Man,374,2,3,2,2,2,3,,,,,
White,Man,374,5,5,5,5,5,5,,,,,
Hispanic,Nonbinary,374,1,5,1,1,4,3,,,,,
White,Man,376,5,5,5,5,5,5,,,,,
White,Man,376,5,5,5,5,5,5,,,,,
Hispanic,Man,376,2,2,2,3,2,5,,,,,
White,Man,473,5,5,5,5,5,5,,,,,
White,Man,474,3,2,4,5,1,3,,,,,
White,Man,498,5,5,5,5,5,5,,,,,
White,Man,498,5,5,5,5,5,5,,,,,
Black,Man,498,4,4,4,4,5,5,,,,,
Asian,Woman,498,4,5,5,5,5,5,,,,,
